Block,Lot,Type,Acres,PlatAreaSF,Note
D,7,Residential,0.193,8400,
D,8,Residential,0.193,8400,
D,9,Residential,0.165,7200,
D,10,Residential,0.165,7200,
D,11,Residential,0.165,7197,
D,12,OpenSpace,0.526,22921,
E,1,Residential,0.192,8350,
E,2,Residential,0.165,7200,
E,3,Residential,0.165,7200,
E,4,Residential,0.165,7200,
E,5,Residential,0.165,7200,
E,6,Residential,0.165,7200,
E,7,Residential,0.165,7200,
E,8,Residential,0.192,8350,
E,9,Residential,0.192,8350,
E,10,Residential,0.165,7200,
E,11,Residential,0.165,7200,
E,12,Residential,0.165,7200,
E,13,Residential,0.165,7200,
E,14,Residential,0.165,7200,
E,15,Residential,0.165,7200,
E,16,Residential,0.192,8350,
F,1,Residential,0.192,8350,
F,2,Residential,0.165,7200,
F,3,Residential,0.165,7200,
F,4,Residential,0.165,7200,
F,5,Residential,0.165,7200,
F,6,Residential,0.165,7200,
F,7,Residential,0.165,7200,
F,8,Residential,0.192,8350,
F,9,Residential,0.247,10750,
F,10,Residential,0.22,9600,
F,11,Residential,0.22,9600,
F,12,Residential,0.22,9600,
F,13,Residential,0.22,9600,
F,14,Residential,0.242,10549,
G,1,Residential,0.197,8574,
G,2,Residential,0.165,7200,
G,3,Residential,0.165,7200,
G,4,Residential,0.165,7200,
G,5,Residential,0.165,7200,
G,6,Residential,0.193,8400,
G,7,Residential,0.193,8400,
G,8,Residential,0.193,8400,
G,9,Residential,0.193,8400,
G,10,Residential,0.193,8400,
G,11,Residential,0.219,9550,
G,12,Residential,0.192,8350,
G,13,Residential,0.165,7200,
G,14,Residential,0.165,7200,
G,15,Residential,0.165,7200,
G,16,Residential,0.165,7200,
G,17,Residential,0.165,7200,
G,18,Residential,0.165,7200,
G,19,Residential,0.165,7200,
G,20,Residential,0.165,7200,
G,21,Residential,0.165,7200,
G,22,Residential,0.165,7200,
G,23,Residential,0.195,8493,
H,1,OpenSpace,0.097,4242,
I,1,OpenSpace,0.026,1113,
J,1,OpenSpace,0.222,9683,
K,1,OpenSpace,0.014,602,
