Block,Lot,PlatAreaSF,PolyAreaSF,LotProduct_ft,LotWidth_ft,LotDepth_ft,PadElev_FP,FrontSpotElev,SpotToROW_ft,GarageApron,DrivewayDrop_ft,Slope_at21ft_pct,RunNeeded_at10pct_ft,SetbackShift_ft,DropGarage_if_noShift_ft,RestrictedDriveway,RequiredDrivewaySide,Dakota_JSwing_Fit,PlansWithEnoughSlack,Confidence,Notes
A,60,7273,7273,50,62.6,120.0,599.2,597.6,2.4,599.45,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
B,2,7273,7273,50,62.3,120.0,600.8,599.3,2.8,601.05,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
B,3,6000,5999,50,50.0,120.0,601.6,599.3,2.8,601.85,2.55,12.1,31.3,10.3,0.45,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,4,6000,5999,50,50.0,120.0,602.7,600.0,2.8,602.95,2.95,14.0,35.3,14.3,0.85,,,OK - either hand,"Ross A, Ross B/C",OK,
B,5,6000,5999,50,50.0,120.0,604.0,602.4,2.8,604.25,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,6,6003,6003,50,50.1,120.0,605.3,602.4,2.8,605.55,3.15,15.0,37.3,16.3,1.05,,,OK - either hand,none,OK,
B,7,8488,8592,50,104.2,121.0,606.0,603.7,4.5,606.25,2.55,12.1,31.3,10.3,0.45,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,8,14602,14676,50,147.3,149.2,606.5,604.8,27.2,606.75,1.95,9.3,25.3,4.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",CHECK,chosen spot 27 ft from ROW - may not be the front spot
B,9,8371,8479,50,91.2,127.2,607.0,605.3,0.0,607.25,1.95,9.3,25.3,4.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,10,6323,6322,50,50.0,126.6,607.9,605.3,0.0,608.15,2.85,13.6,34.3,13.3,0.75,,,OK - either hand,"Ross A, Ross B/C",OK,
B,11,6306,6306,50,50.0,126.3,608.9,606.4,0.0,609.15,2.75,13.1,33.3,12.3,0.65,,,OK - either hand,"Ross A, Ross B/C",OK,
B,12,6290,6289,50,50.0,126.0,609.2,607.3,0.0,609.45,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,13,6552,6551,50,52.2,125.6,609.2,607.5,0.0,609.45,1.95,9.3,25.3,4.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,14,8543,8674,50,97.2,125.3,609.1,607.2,2.0,609.35,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,15,14605,14685,50,144.7,149.3,608.8,607.1,32.2,609.05,1.95,9.3,25.3,4.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",CHECK,chosen spot 32 ft from ROW - may not be the front spot
B,16,8066,8198,50,95.1,120.0,608.5,606.5,2.8,608.75,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,17,6000,5999,50,50.0,120.0,608.1,606.5,2.8,608.35,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,18,6000,5999,50,50.0,120.0,607.2,605.7,2.8,607.45,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
B,19,6000,5999,50,50.0,120.0,606.4,604.8,2.8,606.65,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
B,20,6000,5999,50,50.0,120.0,605.5,604.0,2.8,605.75,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
